year,inc,fr,po1,po2,redist,state,dist,dexp_cat_gran,rexp_cat_gran,dexp_cat,rexp_cat,dpres_cat,dvp_cat
a1946,b1,c0,d5.0,e2.0,f0,g1,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g1,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g1,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d0.0,e0.0,f0,g1,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n31.0
a1946,b1,c1,d5.0,e2.0,f0,g1,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g1,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d0.0,e0.0,f0,g1,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n27.0
a1946,b1,c0,d0.0,e0.0,f0,g1,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d0.0,e0.0,f0,g1,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n31.0
a1946,b1,c0,d0.0,e1.0,f0,g3,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d0.0,e1.0,f0,g3,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g4,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g4,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c1,d5.0,e2.0,f0,g4,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b1,c0,d5.0,e2.0,f0,g4,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d0.0,e0.0,f0,g4,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n32.0
a1946,b1,c0,d5.0,e2.0,f0,g4,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g4,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g5,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g5,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b0,c0,d5.0,e2.0,f0,g5,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c1,d0.0,e0.0,f0,g5,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n17.0
a1946,b0,c0,d5.0,e2.0,f0,g5,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c1,d5.0,e2.0,f0,g5,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n19.0
a1946,b2,c9,d3.0,e0.0,f0,g5,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b0,c0,d5.0,e2.0,f0,g5,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g5,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g5,h10,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d1.0,e0.0,f0,g5,h11,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b1,c0,d0.0,e0.0,f0,g5,h12,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b1,c1,d1.0,e4.0,f0,g5,h13,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n22.0
a1946,b1,c1,d1.0,e4.0,f0,g5,h14,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n19.0
a1946,b0,c1,d5.0,e2.0,f0,g5,h15,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b2,c9,d2.0,e0.0,f0,g5,h16,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n22.0
a1946,b1,c0,d5.0,e2.0,f0,g5,h17,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c1,d0.0,e0.0,f0,g5,h18,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b1,c0,d5.0,e2.0,f0,g5,h19,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n29.0
a1946,b0,c0,d1.0,e4.0,f0,g5,h20,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n12.0
a1946,b1,c0,d0.0,e0.0,f0,g5,h21,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b0,c0,d1.0,e0.0,f0,g5,h22,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d0.0,e0.0,f0,g5,h23,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b0,c0,d1.0,e0.0,f0,g6,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n13.0
a1946,b0,c0,d0.0,e0.0,f0,g6,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b0,c0,d0.0,e0.0,f0,g6,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g6,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b1,c0,d1.0,e8.0,f0,g7,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n21.0
a1946,b1,c1,d0.0,e0.0,f0,g7,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n19.0
a1946,b1,c1,d1.0,e0.0,f0,g7,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n19.0
a1946,b3,c9,d0.0,e0.0,f0,g7,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n15.0
a1946,b3,c9,d0.0,e0.0,f0,g7,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n13.0
a1946,b1,c1,d0.0,e0.0,f0,g7,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n19.0
a1946,b1,c0,d0.0,e0.0,f0,g8,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n17.0
a1946,b1,c0,d5.0,e2.0,f0,g9,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g9,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g9,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d0.0,e0.0,f0,g9,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n29.0
a1946,b1,c0,d0.0,e0.0,f0,g9,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n28.0
a1946,b1,c1,d0.0,e0.0,f0,g9,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n28.0
a1946,b2,c9,d7.0,e5.0,f0,g10,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g10,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g10,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g10,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d7.0,e5.0,f0,g10,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g10,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d7.0,e5.0,f0,g10,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d7.0,e2.0,f0,g10,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g10,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g10,h10,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d1.0,e4.0,f0,g12,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b3,c9,d3.0,e6.0,f0,g12,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n13.0
a1946,b1,c0,d1.0,e4.0,f0,g13,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b1,c0,d0.0,e0.0,f0,g13,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b1,c1,d1.0,e8.0,f0,g13,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n19.0
a1946,b1,c0,d0.0,e0.0,f0,g13,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n31.0
a1946,b1,c0,d0.0,e0.0,f0,g13,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n30.0
a1946,b1,c0,d0.0,e0.0,f0,g13,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n25.0
a1946,b1,c0,d0.0,e0.0,f0,g13,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n22.0
a1946,b1,c0,d0.0,e0.0,f0,g13,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n30.0
a1946,b1,c1,d0.0,e0.0,f0,g13,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n20.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h10,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h11,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h12,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h13,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n4.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h14,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
a1946,b0,c0,d1.0,e4.0,f0,g13,h15,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h16,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h17,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b3,c9,d2.0,e0.0,f0,g13,h18,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h19,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h20,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h21,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b1,c1,d1.0,e4.0,f0,g13,h22,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n18.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h23,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
a1946,b0,c2,d1.0,e0.0,f0,g13,h24,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b0,c0,d0.0,e0.0,f0,g13,h25,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n12.0
a1946,b1,c0,d1.0,e8.0,f0,g13,h26,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n20.0
a1946,b1,c0,d1.0,e0.0,f0,g14,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b0,c0,d0.0,e0.0,f0,g14,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b0,c0,d1.0,e4.0,f0,g14,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n13.0
a1946,b0,c0,d0.0,e0.0,f0,g14,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b0,c0,d0.0,e0.0,f0,g14,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
a1946,b0,c0,d0.0,e0.0,f0,g14,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g14,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
a1946,b3,c9,d2.0,e5.0,f0,g14,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n13.0
a1946,b0,c0,d0.0,e0.0,f0,g14,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g14,h10,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b1,c0,d1.0,e4.0,f0,g14,h11,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n19.0
a1946,b0,c0,d0.0,e0.0,f0,g15,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g15,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g15,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d1.0,e4.0,f0,g15,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
a1946,b0,c0,d1.0,e4.0,f0,g15,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
a1946,b0,c1,d1.0,e4.0,f0,g15,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c0,d0.0,e0.0,f0,g15,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b0,c0,d0.0,e0.0,f0,g15,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c1,d0.0,e0.0,f0,g16,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b0,c0,d0.0,e0.0,f0,g16,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b3,c9,d2.0,e0.0,f0,g16,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b0,c0,d0.0,e0.0,f0,g16,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c0,d0.0,e0.0,f0,g16,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b3,c9,d0.0,e0.0,f0,g16,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b1,c0,d0.0,e0.0,f0,g17,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n28.0
a1946,b1,c1,d1.0,e4.0,f0,g17,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b1,c0,d0.0,e0.0,f0,g17,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b1,c1,d1.0,e0.0,f0,g17,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n22.0
a1946,b1,c0,d0.0,e0.0,f0,g17,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b1,c0,d0.0,e0.0,f0,g17,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b1,c0,d0.0,e0.0,f0,g17,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n20.0
a1946,b1,c0,d0.0,e0.0,f0,g17,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n22.0
a1946,b0,c0,d5.0,e2.0,f0,g17,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b1,c0,d0.0,e0.0,f0,g18,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d3.0,e8.0,f0,g18,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g18,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g18,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d7.0,e2.0,f0,g18,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g18,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c1,d5.0,e2.0,f0,g18,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g18,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b0,c0,d0.0,e0.0,f0,g19,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b0,c0,d0.0,e0.0,f0,g19,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b0,c0,d0.0,e0.0,f0,g19,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n3.0
a1946,b1,c1,d0.0,e0.0,f0,g20,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n18.0
a1946,b2,c9,d4.0,e7.0,f0,g20,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b1,c0,d0.0,e0.0,f0,g20,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n29.0
a1946,b1,c1,d0.0,e0.0,f0,g20,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n25.0
a1946,b1,c0,d0.0,e0.0,f0,g20,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n27.0
a1946,b0,c0,d0.0,e0.0,f0,g20,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c1,d0.0,e0.0,f0,g21,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n15.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b1,c0,d0.0,e0.0,f0,g21,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b0,c0,d1.0,e0.0,f0,g21,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n4.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b1,c0,d1.0,e0.0,f0,g21,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n28.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h10,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b2,c9,d0.0,e0.0,f0,g21,h11,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n27.0
a1946,b1,c0,d5.0,e2.0,f0,g21,h12,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n30.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h13,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d0.0,e0.0,f0,g21,h14,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b1,c0,d1.0,e8.0,f0,g22,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n31.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h10,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h11,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b1,c0,d1.0,e8.0,f0,g22,h12,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n17.0
a1946,b1,c0,d0.0,e0.0,f0,g22,h13,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b1,c0,d0.0,e0.0,f0,g22,h14,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n22.0
a1946,b1,c0,d0.0,e0.0,f0,g22,h15,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b1,c0,d1.0,e0.0,f0,g22,h16,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b0,c0,d0.0,e0.0,f0,g22,h17,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c0,d0.0,e0.0,f0,g23,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n7.0
a1946,b0,c0,d0.0,e0.0,f0,g23,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n3.0
a1946,b2,c9,d4.0,e7.0,f0,g23,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n18.0
a1946,b1,c1,d1.0,e0.0,f0,g23,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n18.0
a1946,b0,c0,d0.0,e0.0,f0,g23,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n10.0
a1946,b0,c0,d0.0,e0.0,f0,g23,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d1.0,e0.0,f0,g23,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b0,c0,d1.0,e4.0,f0,g23,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n14.0
a1946,b0,c0,d0.0,e0.0,f0,g23,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b1,c0,d5.0,e2.0,f0,g24,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g24,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g24,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g24,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g24,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d5.0,e2.0,f0,g24,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b2,c9,d2.0,e2.0,f0,g24,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n33.0
a1946,b0,c0,d0.0,e0.0,f0,g25,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n15.0
a1946,b0,c0,d0.0,e0.0,f0,g25,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n16.0
a1946,b0,c0,d0.0,e0.0,f0,g25,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n15.0
a1946,b1,c0,d0.0,e0.0,f0,g25,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n24.0
a1946,b2,c9,d0.0,e0.0,f0,g25,h5,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n20.0
a1946,b0,c0,d0.0,e0.0,f0,g25,h6,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n9.0
a1946,b0,c0,d0.0,e0.0,f0,g25,h7,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n6.0
a1946,b1,c1,d1.0,e0.0,f0,g25,h8,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n17.0
a1946,b1,c0,d1.0,e4.0,f0,g25,h9,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n21.0
a1946,b1,c0,d0.0,e0.0,f0,g25,h10,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b1,c0,d1.0,e0.0,f0,g25,h11,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n23.0
a1946,b0,c0,d0.0,e0.0,f0,g25,h12,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n14.0
a1946,b2,c9,d0.0,e0.0,f0,g25,h13,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n2342.0
a1946,b1,c0,d0.0,e0.0,f0,g26,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n28.0
a1946,b0,c2,d1.0,e0.0,f0,g26,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
a1946,b0,c0,d1.0,e4.0,f0,g27,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b0,c0,d0.0,e0.0,f0,g27,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n8.0
a1946,b0,c0,d0.0,e0.0,f0,g27,h3,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n4.0
a1946,b0,c0,d0.0,e0.0,f0,g27,h4,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n5.0
a1946,b2,c9,d4.0,e6.0,f0,g28,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n26.0
a1946,b0,c0,d1.0,e0.0,f0,g29,h1,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n15.0
a1946,b3,c9,d3.0,e6.0,f0,g29,h2,i2342.0,j2342.0,k2342.0,l2342.0,m2342.0,n11.0
